product_id,product_name,our_price,competitor_name,competitor_price,last_updated
2001,Gadget A,199.99,StoreA,189.99,2025-08-02
2002,Gadget B,249.99,StoreB,259.99,2025-08-02
2003,Gadget C,159.49,StoreC,154.99,2025-08-02
2004,Gadget D,299.99,StoreA,299.99,2025-08-02
2005,Gadget E,99.99,StoreB,98.99,2025-08-02
2006,Gadget F,499.99,StoreC,502.99,2025-08-02
2007,Gadget G,399.99,StoreA,397.99,2025-08-02
2008,Gadget H,599.99,StoreB,599.99,2025-08-02
2009,Gadget I,129.99,StoreC,139.99,2025-08-02
2010,Gadget J,229.99,StoreA,221.99,2025-08-02
2011,Gadget K,189.99,StoreB,188.49,2025-08-02
2012,Gadget L,279.99,StoreC,277.99,2025-08-02
2013,Gadget M,339.99,StoreA,335.99,2025-08-02
2014,Gadget N,449.99,StoreB,444.49,2025-08-02
2015,Gadget O,559.99,StoreC,554.99,2025-08-02
2016,Gadget P,669.99,StoreA,669.99,2025-08-02
2017,Gadget Q,779.99,StoreB,775.99,2025-08-02
2018,Gadget R,889.99,StoreC,889.99,2025-08-02
2019,Gadget S,999.99,StoreA,997.99,2025-08-02
2020,Gadget T,1099.99,StoreB,1109.99,2025-08-02
