product_id,product_name,our_price,competitor_name,competitor_price,last_updated
101,Redmi Note 12,299.99,Amazon,289.99,2025-06-15
102,Realme 11 Pro,319.99,Flipkart,329.99,2025-06-15
103,Vivo V29,349.99,Amazon,349.99,2025-06-15
104,Oppo Reno 10,379.99,Flipkart,369.99,2025-06-15
105,Boat Airdopes 441,49.99,Amazon,47.99,2025-06-15
106,JBL Flip 6,129.99,Flipkart,129.99,2025-06-15
107,HP Pavilion 15,899.99,Amazon,879.99,2025-06-15
108,Dell Inspiron 14,799.99,Flipkart,799.99,2025-06-15
109,Acer Aspire 7,699.99,Amazon,719.99,2025-06-15
110,MSI GF63,649.99,Flipkart,649.99,2025-06-15
111,Apple Watch SE,279.99,Amazon,269.99,2025-06-15
112,Noise ColorFit Pro 4,69.99,Flipkart,69.99,2025-06-15
113,Canon EOS 200D,599.99,Amazon,599.99,2025-06-15
114,Nikon D5600,649.99,Flipkart,639.99,2025-06-15
115,GoPro Hero 11,399.99,Amazon,389.99,2025-06-15
116,Apple iPad 10th Gen,499.99,Flipkart,499.99,2025-06-15
117,Microsoft Surface Go 3,599.99,Amazon,579.99,2025-06-15
118,Amazon Fire TV Stick,39.99,Flipkart,37.99,2025-06-15
119,Google Chromecast,49.99,Amazon,49.99,2025-06-15
120,Logitech K380,39.99,Flipkart,39.99,2025-06-15
121,Redmi Note 12,299.99,Amazon,299.99,2025-06-16
122,Realme 11 Pro,319.99,Flipkart,319.99,2025-06-16
123,Vivo V29,349.99,Amazon,339.99,2025-06-16
124,Oppo Reno 10,379.99,Flipkart,379.99,2025-06-16
125,Boat Airdopes 441,49.99,Amazon,49.99,2025-06-16
126,JBL Flip 6,129.99,Flipkart,127.99,2025-06-16
127,HP Pavilion 15,899.99,Amazon,899.99,2025-06-16
128,Dell Inspiron 14,799.99,Flipkart,789.99,2025-06-16
129,Acer Aspire 7,699.99,Amazon,699.99,2025-06-16
130,MSI GF63,649.99,Flipkart,659.99,2025-06-16
131,Apple Watch SE,279.99,Amazon,279.99,2025-06-16
132,Noise ColorFit Pro 4,69.99,Flipkart,69.99,2025-06-16
133,Canon EOS 200D,599.99,Amazon,609.99,2025-06-16
134,Nikon D5600,649.99,Flipkart,649.99,2025-06-16
135,GoPro Hero 11,399.99,Amazon,399.99,2025-06-16
136,Apple iPad 10th Gen,499.99,Flipkart,489.99,2025-06-16
137,Microsoft Surface Go 3,599.99,Amazon,599.99,2025-06-16
138,Amazon Fire TV Stick,39.99,Flipkart,39.99,2025-06-16
139,Google Chromecast,49.99,Amazon,47.99,2025-06-16
140,Logitech K380,39.99,Flipkart,39.99,2025-06-16
